tijdstip;locatie;component;waarde;LKI,
2018-08-02 20:00:00+02:00;Amsterdam-Vondelpark;NO;0,4;1
2018-08-02 20:00:00+02:00;Amsterdam-Vondelpark;PM25;7,1;1
2018-08-02 20:00:00+02:00;Amsterdam-Vondelpark;FN;0,61;1
2018-08-02 20:00:00+02:00;Amsterdam-Vondelpark;PM10;16,2;2
2018-08-02 20:00:00+02:00;Amsterdam-Vondelpark;CO;242,0;1
2018-08-02 20:00:00+02:00;Amsterdam-Vondelpark;NO2;12,9;2
2018-08-02 21:00:00+02:00;Amsterdam-Vondelpark;NO;0,3;1
2018-08-02 21:00:00+02:00;Amsterdam-Vondelpark;PM25;9,2;1
2018-08-02 21:00:00+02:00;Amsterdam-Vondelpark;NO2;22,8;3
2018-08-02 21:00:00+02:00;Amsterdam-Vondelpark;PM10;22,3;3
2018-08-02 21:00:00+02:00;Amsterdam-Vondelpark;FN;0,89;1
2018-08-02 21:00:00+02:00;Amsterdam-Vondelpark;O3;99,3;6
2018-08-02 21:00:00+02:00;Amsterdam-Vondelpark;CO;286,0;2
2018-08-02 22:00:00+02:00;Amsterdam-Vondelpark;NO;0,2;1
2018-08-02 22:00:00+02:00;Amsterdam-Vondelpark;O3;79,8;5
2018-08-02 22:00:00+02:00;Amsterdam-Vondelpark;CO;295,0;2
2018-08-02 22:00:00+02:00;Amsterdam-Vondelpark;PM10;28,3;3
2018-08-02 22:00:00+02:00;Amsterdam-Vondelpark;PM25;9,1;1
2018-08-02 22:00:00+02:00;Amsterdam-Vondelpark;FN;1,1;2
2018-08-02 22:00:00+02:00;Amsterdam-Vondelpark;NO2;29,9;3
2018-08-02 23:00:00+02:00;Amsterdam-Vondelpark;CO;381,8;2
2018-08-02 23:00:00+02:00;Amsterdam-Vondelpark;NO;0,4;1
2018-08-02 23:00:00+02:00;Amsterdam-Vondelpark;O3;32,1;3
2018-08-02 23:00:00+02:00;Amsterdam-Vondelpark;FN;1,67;2
2018-08-02 23:00:00+02:00;Amsterdam-Vondelpark;PM10;31,0;4
2018-08-02 23:00:00+02:00;Amsterdam-Vondelpark;PM25;8,6;1
2018-08-02 23:00:00+02:00;Amsterdam-Vondelpark;NO2;60,4;6
2018-08-03 00:00:00+02:00;Amsterdam-Vondelpark;NO2;54,4;5
2018-08-03 00:00:00+02:00;Amsterdam-Vondelpark;CO;380,9;2
2018-08-03 00:00:00+02:00;Amsterdam-Vondelpark;NO;0,8;1
2018-08-03 00:00:00+02:00;Amsterdam-Vondelpark;O3;27,3;2
2018-08-03 00:00:00+02:00;Amsterdam-Vondelpark;FN;1,76;2
2018-08-03 00:00:00+02:00;Amsterdam-Vondelpark;PM10;26,7;3
2018-08-03 00:00:00+02:00;Amsterdam-Vondelpark;PM25;9,7;1
2018-08-03 01:00:00+02:00;Amsterdam-Vondelpark;NO;0,3;1
2018-08-03 01:00:00+02:00;Amsterdam-Vondelpark;O3;40,9;4
2018-08-03 01:00:00+02:00;Amsterdam-Vondelpark;PM10;18,6;2
2018-08-03 01:00:00+02:00;Amsterdam-Vondelpark;FN;1,16;2
2018-08-03 01:00:00+02:00;Amsterdam-Vondelpark;CO;275,0;2
2018-08-03 01:00:00+02:00;Amsterdam-Vondelpark;PM25;7,9;1
2018-08-03 01:00:00+02:00;Amsterdam-Vondelpark;NO2;29,6;3
2018-08-03 02:00:00+02:00;Amsterdam-Vondelpark;NO;0,5;1
2018-08-03 02:00:00+02:00;Amsterdam-Vondelpark;PM25;5,8;1
2018-08-03 02:00:00+02:00;Amsterdam-Vondelpark;CO;267,0;2
2018-08-03 02:00:00+02:00;Amsterdam-Vondelpark;PM10;19,4;2
2018-08-03 02:00:00+02:00;Amsterdam-Vondelpark;FN;0,93;1
2018-08-03 02:00:00+02:00;Amsterdam-Vondelpark;O3;34,1;3
2018-08-03 02:00:00+02:00;Amsterdam-Vondelpark;NO2;29,5;3
2018-08-03 03:00:00+02:00;Amsterdam-Vondelpark;FN;1,36;2
2018-08-03 03:00:00+02:00;Amsterdam-Vondelpark;O3;14,8;1
2018-08-03 03:00:00+02:00;Amsterdam-Vondelpark;NO;1,1;1
2018-08-03 03:00:00+02:00;Amsterdam-Vondelpark;CO;253,6;2
2018-08-03 03:00:00+02:00;Amsterdam-Vondelpark;NO2;55,6;5
2018-08-03 03:00:00+02:00;Amsterdam-Vondelpark;PM25;9,0;1
2018-08-03 03:00:00+02:00;Amsterdam-Vondelpark;PM10;32,3;4
2018-08-03 04:00:00+02:00;Amsterdam-Vondelpark;CO;250,5;2
